date_rep,center,group,uah_paym,paym_type,paym_direction
31.01.2018,C_3,Group 211,0.36521846,To non-CB client in other bank,OUT
31.01.2018,C_3,Group 211,2.63070905,To themselves in other bank,OUT
31.01.2018,C_3,Group 116,0.00011356,Own money from other bank,IN
31.01.2018,C_3,Group 116,0.0000405,To non-CB client in other bank,OUT
31.01.2018,C_3,Group 389,7.12387358,Money from other bank,IN
31.01.2018,C_3,Group 389,1.47622522,Own money from other bank,IN
31.01.2018,C_3,Group 389,8.88498323,To CB client in other bank,OUT
31.01.2018,C_3,Group 389,3.37497206,To non-CB client in other bank,OUT
31.01.2018,C_3,Group 389,9.69009375,To themselves in other bank,OUT
31.01.2018,C_3,Group 543,0.70783107,Own money from other bank,IN
31.01.2018,C_3,Group 368,6.25844986,Money from other bank,IN
31.01.2018,C_3,Group 368,0.15216475,Own money from other bank,IN
31.01.2018,C_3,Group 368,13.07587691,To CB client in other bank,OUT
31.01.2018,C_3,Group 368,0.83154196,To non-CB client in other bank,OUT
31.01.2018,C_3,Group 39,14.05406852,Money from other bank,IN
31.01.2018,C_3,Group 39,0.01022002,Own money from other bank,IN
31.01.2018,C_3,Group 39,0.03636969,To CB client in other bank,OUT
31.01.2018,C_3,Group 39,13.03679512,To non-CB client in other bank,OUT
31.01.2018,C_3,Group 39,1.06042178,To themselves in other bank,OUT
31.01.2018,C_3,Group 202,37.18674688,Money from other bank,IN
31.01.2018,C_3,Group 202,10.3440468,Own money from other bank,IN
31.01.2018,C_3,Group 202,9.9491275,To CB client in other bank,OUT
31.01.2018,C_3,Group 202,34.09997123,To non-CB client in other bank,OUT
31.01.2018,C_3,Group 202,38.7567449,To themselves in other bank,OUT
31.01.2018,C_3,Group 279,0.12869656,Own money from other bank,IN
31.01.2018,C_3,Group 279,0.0419282,To non-CB client in other bank,OUT
31.01.2018,C_3,Group 450,3.34455025,Money from other bank,IN
31.01.2018,C_3,Group 450,0.02264934,To CB client in other bank,OUT
31.01.2018,C_3,Group 450,1.26781669,To non-CB client in other bank,OUT
31.01.2018,C_3,Group 450,11.20038571,To themselves in other bank,OUT
31.01.2018,C_3,Group 438,4.54223145,Money from other bank,IN
31.01.2018,C_3,Group 438,0.03785193,Own money from other bank,IN
31.01.2018,C_3,Group 438,3.78519287,To non-CB client in other bank,OUT
31.01.2018,C_3,Group 62,0.71823545,Money from other bank,IN
31.01.2018,C_3,Group 62,0.07608238,Own money from other bank,IN
31.01.2018,C_3,Group 62,0.00835558,To CB client in other bank,OUT
31.01.2018,C_3,Group 62,0.84377623,To non-CB client in other bank,OUT
31.01.2018,C_3,Group 62,0.03482377,To themselves in other bank,OUT
31.01.2018,C_3,Group 356,1.35808666,Money from other bank,IN
31.01.2018,C_3,Group 356,0.11166319,To themselves in other bank,OUT
31.01.2018,C_3,Group 519,12.99100696,Money from other bank,IN
31.01.2018,C_3,Group 519,0.29323889,Own money from other bank,IN
31.01.2018,C_3,Group 519,9.84112295,To CB client in other bank,OUT
31.01.2018,C_3,Group 519,3.80866107,To themselves in other bank,OUT
31.01.2018,C_3,Group 499,2.41564936,Money from other bank,IN
31.01.2018,C_3,Group 499,1.14510793,To non-CB client in other bank,OUT
31.01.2018,C_3,Group 499,0.24225234,To themselves in other bank,OUT
31.01.2018,C_3,Group 617,2.09430809,Money from other bank,IN
31.01.2018,C_3,Group 617,6.07814171,To non-CB client in other bank,OUT
31.01.2018,C_3,Group 305,25.70313925,Money from other bank,IN
31.01.2018,C_3,Group 305,5.53205938,Own money from other bank,IN
31.01.2018,C_3,Group 305,18.19232813,To CB client in other bank,OUT
31.01.2018,C_3,Group 305,44.03435674,To non-CB client in other bank,OUT
31.01.2018,C_3,Group 305,6.90986959,To themselves in other bank,OUT
31.01.2018,C_3,Group 2,413.15216897,Money from other bank,IN
31.01.2018,C_3,Group 2,122.32775734,Own money from other bank,IN
31.01.2018,C_3,Group 2,105.20630654,To CB client in other bank,OUT
31.01.2018,C_3,Group 2,449.18730819,To non-CB client in other bank,OUT
31.01.2018,C_3,Group 2,171.70606625,To themselves in other bank,OUT
31.01.2018,C_3,Group 24,758.85375035,Money from other bank,IN
31.01.2018,C_3,Group 24,559.97447012,Own money from other bank,IN
31.01.2018,C_3,Group 24,275.1232016,To CB client in other bank,OUT
31.01.2018,C_3,Group 24,526.52358549,To non-CB client in other bank,OUT
31.01.2018,C_3,Group 24,378.14579202,To themselves in other bank,OUT
31.01.2018,C_3,Group 604,0.24438628,Money from other bank,IN
31.01.2018,C_3,Group 604,0.31570269,To non-CB client in other bank,OUT
31.01.2018,C_3,Group 623,0.00331368,Money from other bank,IN
31.01.2018,C_3,Group 623,0.02307672,To CB client in other bank,OUT
31.01.2018,C_3,Group 623,43.38563927,To non-CB client in other bank,OUT
31.01.2018,C_3,Group 623,0.2785902,To themselves in other bank,OUT
31.01.2018,C_3,Group 317,19.34833366,Money from other bank,IN
31.01.2018,C_3,Group 317,0.04518639,To CB client in other bank,OUT
31.01.2018,C_3,Group 317,3.04371005,To non-CB client in other bank,OUT
31.01.2018,C_3,Group 317,1.05517475,To themselves in other bank,OUT
31.01.2018,C_3,Group 621,0.00546519,To non-CB client in other bank,OUT
31.01.2018,C_3,Group 578,0.53178578,Money from other bank,IN
31.01.2018,C_3,Group 578,3.0281543,Own money from other bank,IN
31.01.2018,C_3,Group 578,0.04660799,To CB client in other bank,OUT
31.01.2018,C_3,Group 578,5.07100921,To non-CB client in other bank,OUT
31.01.2018,C_3,Group 578,0.45422314,To themselves in other bank,OUT
31.01.2018,C_2,Group 575,1.60105202,Money from other bank,IN
31.01.2018,C_2,Group 575,8.37663182,Own money from other bank,IN
31.01.2018,C_2,Group 575,0.00585614,To non-CB client in other bank,OUT
31.01.2018,C_2,Group 611,3.54236217,Money from other bank,IN
31.01.2018,C_2,Group 611,0.00031723,To CB client in other bank,OUT
31.01.2018,C_2,Group 611,0.01823786,To non-CB client in other bank,OUT
31.01.2018,C_2,Group 611,3.86695304,To themselves in other bank,OUT
31.01.2018,C_2,Group 208,1.72401179,Money from other bank,IN
31.01.2018,C_2,Group 208,0.14839549,To CB client in other bank,OUT
31.01.2018,C_2,Group 208,0.53243849,To non-CB client in other bank,OUT
31.01.2018,C_2,Group 334,3.3166851,Money from other bank,IN
31.01.2018,C_2,Group 334,2.22223198,To non-CB client in other bank,OUT
31.01.2018,C_2,Group 529,162.20138158,Money from other bank,IN
31.01.2018,C_2,Group 529,0.22332638,Own money from other bank,IN
31.01.2018,C_2,Group 529,0.56777893,To CB client in other bank,OUT
31.01.2018,C_2,Group 529,0.01623817,To non-CB client in other bank,OUT
31.01.2018,C_2,Group 529,2.84367379,To themselves in other bank,OUT
31.01.2018,C_2,Group 534,0.60940697,Money from other bank,IN
31.01.2018,C_2,Group 534,0.6684525,To non-CB client in other bank,OUT
31.01.2018,C_2,Group 534,0.34328558,To themselves in other bank,OUT
31.01.2018,C_2,Group 619,0.4317665,Money from other bank,IN
31.01.2018,C_2,Group 619,0.01574796,To CB client in other bank,OUT
31.01.2018,C_2,Group 619,0.43238502,To non-CB client in other bank,OUT
31.01.2018,C_2,Group 619,0.5829197,To themselves in other bank,OUT
31.01.2018,C_2,Group 46,0.33508121,Money from other bank,IN
31.01.2018,C_2,Group 46,0.49591618,To non-CB client in other bank,OUT
31.01.2018,C_2,Group 46,0.04704712,To themselves in other bank,OUT
31.01.2018,C_2,Group 65,0.01244699,To CB client in other bank,OUT
31.01.2018,C_2,Group 65,0.00527247,To non-CB client in other bank,OUT
31.01.2018,C_2,Group 52,0.06599677,Money from other bank,IN
31.01.2018,C_2,Group 52,1.27750259,Own money from other bank,IN
31.01.2018,C_2,Group 52,0.00454223,To CB client in other bank,OUT
31.01.2018,C_2,Group 52,0.02459329,To non-CB client in other bank,OUT
31.01.2018,C_2,Group 23,38.44297066,Money from other bank,IN
31.01.2018,C_2,Group 23,7.12070483,Own money from other bank,IN
31.01.2018,C_2,Group 23,15.41074216,To CB client in other bank,OUT
31.01.2018,C_2,Group 23,12.30613177,To non-CB client in other bank,OUT
31.01.2018,C_2,Group 23,18.32172721,To themselves in other bank,OUT
31.01.2018,C_2,Group 527,0.05485653,Money from other bank,IN
31.01.2018,C_2,Group 527,0.50679536,To non-CB client in other bank,OUT
31.01.2018,C_2,Group 25,10.70833377,Money from other bank,IN
31.01.2018,C_2,Group 25,0.5416611,Own money from other bank,IN
31.01.2018,C_2,Group 25,3.20042475,To CB client in other bank,OUT
31.01.2018,C_2,Group 25,7.6884969,To non-CB client in other bank,OUT
31.01.2018,C_2,Group 25,0.53738383,To themselves in other bank,OUT
31.01.2018,C_2,Group 38,106.31210943,Money from other bank,IN
31.01.2018,C_2,Group 38,17.7904065,Own money from other bank,IN
31.01.2018,C_2,Group 38,3.45925298,To CB client in other bank,OUT
31.01.2018,C_2,Group 38,42.74559247,To non-CB client in other bank,OUT
31.01.2018,C_2,Group 38,8.80057343,To themselves in other bank,OUT
31.01.2018,C_2,Group 120,33.79109736,Money from other bank,IN
31.01.2018,C_2,Group 120,3.53242323,Own money from other bank,IN
31.01.2018,C_2,Group 120,7.79151693,To CB client in other bank,OUT
31.01.2018,C_2,Group 120,22.10559447,To non-CB client in other bank,OUT
31.01.2018,C_2,Group 120,14.4527506,To themselves in other bank,OUT
31.01.2018,C_2,Group 431,12.39295559,Money from other bank,IN
31.01.2018,C_2,Group 431,3.0281543,Own money from other bank,IN
31.01.2018,C_2,Group 431,0.05748725,To CB client in other bank,OUT
31.01.2018,C_2,Group 431,9.94822484,To non-CB client in other bank,OUT
31.01.2018,C_2,Group 431,1.99858184,To themselves in other bank,OUT
31.01.2018,C_2,Group 320,0.09751851,Money from other bank,IN
31.01.2018,C_2,Group 320,0.00740559,To CB client in other bank,OUT
31.01.2018,C_2,Group 320,0.12450487,To non-CB client in other bank,OUT
31.01.2018,C_2,Group 34,0.08334465,Money from other bank,IN
31.01.2018,C_2,Group 34,1.65132484,To non-CB client in other bank,OUT
31.01.2018,C_2,Group 34,0.5325562,To themselves in other bank,OUT
31.01.2018,C_2,Group 528,10.25637387,Money from other bank,IN
31.01.2018,C_2,Group 528,0.04424253,To CB client in other bank,OUT
31.01.2018,C_2,Group 528,11.79366436,To non-CB client in other bank,OUT
31.01.2018,C_2,Group 528,0.00947055,To themselves in other bank,OUT
31.01.2018,C_2,Group 113,12.96615216,Money from other bank,IN
31.01.2018,C_2,Group 113,0.93253948,Own money from other bank,IN
31.01.2018,C_2,Group 113,0.42672158,To non-CB client in other bank,OUT
31.01.2018,C_2,Group 113,19.35747634,To themselves in other bank,OUT
31.01.2018,C_2,Group 82,4.56776293,Money from other bank,IN
31.01.2018,C_2,Group 82,0.17184776,Own money from other bank,IN
31.01.2018,C_2,Group 82,0.29597746,To CB client in other bank,OUT
31.01.2018,C_2,Group 82,170.0622471,To non-CB client in other bank,OUT
